Title,Price_USD,Old_Price_USD,Rating,Monthly_Sales,Available_Options,Link
"Westinghouse 50-inch Smart TV, 4K UHD Xumo TV w/ HDR10, Voice Remote, Dolby Vision, Dolby Atmos, Edgeless, Flat Screen LED Television w/Bluetooth, Apple AirPlay, Wi-Fi & Mobile Connectivity",$289.99,No Discount,4.1 out of 5 stars,,5 sizes5 sizes,https://www.amazon.com/Westinghouse-Edgeless-Television-Bluetooth-Connectivity/dp/B0FC32FGCZ/ref=sr_1_172?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"LG 65-Inch Class OLED evo AI 4K C6 Series Smart TV w/Dolby Atmos, Dolby Vision, HDR10, AI Super Upscaling 4K, Filmmaker Mode, Wow Orchestra, Compatible with Alexa (OLED65C6PUA, 2026)","$1,999.99","$2,699.99",2.5 out of 5 stars,,4 sizes4 sizes,https://www.amazon.com/LG-Upscaling-Filmmaker-Compatible-OLED65C6PUA/dp/B0GRK5D3RW/ref=sr_1_173?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Sony 48 Inch 4K Ultra HD TV A90K Series: BRAVIA XR OLED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation- 5 XR48A90K- Latest Model,Black","$1,298.00","$1,399.99",4.5 out of 5 stars,,2 sizes2 sizes,https://www.amazon.com/Sony-Inch-Ultra-A90K-Playstation%C2%AE/dp/B09R8SDM9F/ref=sr_1_174?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"msi PRO MP341CQW 34-inch VA 3440 x 1440(UWQHD) Computer Monitor, 100Hz, Free-Synch, HDMI, DisplayPort, VESA Mountable, Speaker, 1ms, White",$209.99,$289.99,4.0 out of 5 stars,50+ bought in past month,1 Option,https://www.amazon.com/msi-MP341CQW-Free-Synch-DisplayPort-Mountable/dp/B0BRMK6VZZ/ref=sr_1_175?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Bisprico 32"" Portable Smart TV on Wheels, Qualcomm CPU, EDLA-Certified, Built-in 22000mAh Battery, 16+128GB, Android 14 OS Rolling Tablet TV, Full Swivel Rotation, Remote Control, 13MP Webcam",$678.98,$869.98,4.9 out of 5 stars,,1 Option,https://www.amazon.com/Bisprico-Portable-Qualcomm-EDLA-Certified-22000mAh/dp/B0GTLP6P7Q/ref=sr_1_176?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
VIZIO V4K50M 50 inch Class 4K UHD HDR Smart TV (Renewed),$214.00,$284.99,4.0 out of 5 stars,,1 Option,https://www.amazon.com/VIZIO-Bluetooth-Compatible-Dual-Band-V4K50M-0810/dp/B0DG48W9C7/ref=sr_1_177?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Hisense 43"" Class QD6 Series (43QD6QF, 2025 Model) QLED 4K UHD Smart Fire TV, Voice Remote with Alexa, Dolby Vision, Dolby Atmos, Motion Rate 120, HDR 10+, Game Mode Plus, MEMC, VRR, ALLM",$199.99,No Discount,4.1 out of 5 stars,,3 sizes3 sizes,https://www.amazon.com/Hisense-43QD6QF-Remote-Vision-Motion/dp/B0DYRL2984/ref=sr_1_178?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"RCA 32-Inch HD Smart Google TV, Frameless LED Display with HDR10, Wi-Fi and Bluetooth, Google Assistant Built-in, Compatible with Alexa",$119.99,$159.99,3.9 out of 5 stars,50+ bought in past month,1 Option,https://www.amazon.com/RCA-Frameless-Bluetooth-Assistant-Compatible/dp/B0DFHL19RP/ref=sr_1_179?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"LG 55-Inch Class OLED AI 4K B5 Series Smart TV w/Dolby Atmos, Dolby Vision, HDR10, AI Super Upscaling 4K, Filmmaker Mode, Wow Orchestra, Alexa Built-in (OLED55B5PUA.AUS, 2025)",Check Website,No Discount,4.0 out of 5 stars,,1 Option,https://www.amazon.com/LG-Upscaling-Filmmaker-Orchestra-OLED55B5PUA-AUS/dp/B0FLYPMZNJ/ref=sr_1_180?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Hisense 65-Inch Class R6 Series 4K UHD Smart Roku TV with Alexa Compatibility, Dolby Vision HDR, DTS Studio Sound, Game Mode (65R6G),Black",$409.95,No Discount,4.4 out of 5 stars,,3 sizes3 sizes,https://www.amazon.com/Hisense-65-Inch-Vision-Compatibility-65R6G/dp/B08PDTM9ZD/ref=sr_1_181?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"LG 55-Inch Class OLED evo AI 4K C6 Series Smart TV w/Dolby Atmos, Dolby Vision, HDR10, AI Super Upscaling 4K, Filmmaker Mode, Wow Orchestra, Compatible with Alexa (OLED55C6PUA, 2026)","$1,599.99","$1,799.99",5.0 out of 5 stars,,1 Option,https://www.amazon.com/LG-Upscaling-Filmmaker-Compatible-OLED55C6PUA/dp/B0GS4231WF/ref=sr_1_182?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
Samsung QN32Q8FAAFXZA 32 Inch Class QLED Q8F 4K Vision AI Smart TV with 2 Year Amber Protection Plan (2025),$367.99,No Discount,4.4 out of 5 stars,,2 sizes2 sizes,https://www.amazon.com/Samsung-QN32Q8FAAFXZA-Class-Vision-Protection/dp/B0F7N1HRLG/ref=sr_1_183?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Samsung 75-Inch Class Neo QLED QN80H Series Samsung Vision AI Smart TV (2026 Model, 75QN80H) Quantum Mini LED Full Array, Motion Xcelerator 144Hz, 4K AI Upscaling, Alexa Built-in","$1,997.99",No Discount,4.6 out of 5 stars,,4 sizes4 sizes,https://www.amazon.com/Samsung-75-Inch-75QN80H-Xcelerator-Upscaling/dp/B0GP9N4KS2/ref=sr_1_184?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Tyler 14” Portable TV LCD Monitor 1080P Rechargeable Lithium Battery Operated, 2 Antenna, HDMI, USB, RCA, FM Radio, Digital Tuner, AV Inputs, AC/DC, TV Stand and Remote Control for Car Travel",$104.95,No Discount,4.1 out of 5 stars,50+ bought in past month,1 Option,https://www.amazon.com/Tyler-TTV705-14-Portable-Battery-Television/dp/B07MC9KHK3/ref=sr_1_185?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"LG 55 Inch Class UA77 Series LED AI 4K Smart webOS TV (2025 Model) + HDMI Cable + 12 Month CPS Warranty + Streaming Bundle – HDR10, ThinQ AI, Wi-Fi 6, Voice Control, Slim Design (55 inch)",$379.95,No Discount,3.9 out of 5 stars,50+ bought in past month,1 Option,https://www.amazon.com/LG-Class-Warranty-Streaming-Bundle/dp/B0G36QD1YC/ref=sr_1_186?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Samsung 43-Inch Q7F Series QLED 4K UHD Smart TV - HDR10+, Alexa Build-in, Bluetooth w/ 12 Month CPS Protection Plan, AUX HDMI Cable, Streaming Bundle",$327.99,$347.99,4.4 out of 5 stars,,1 Option,https://www.amazon.com/Samsung-43-Inch-QLED-Smart-Build/dp/B0FD464QZQ/ref=sr_1_187?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Jexiop 12”Portable Flat Screen TV,Small TV with Digital Tuner-HDMI-USB-Headphone Jack-AC/DC-12V Input-Use Kitchen-Caravan and Monitor",$91.99,No Discount,4.3 out of 5 stars,100+ bought in past month,1 Option,https://www.amazon.com/Jexiop-12-Tuner-HDMI-USB-Headphone-Input-Use-Kitchen-Caravan/dp/B0DNQ7DFJM/ref=sr_1_188?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"TCL 50-Inch Class S4 4K LED Smart TV with Google (50S450G, 2023 Model), Dolby Vision, HDR Pro, Atmos, Assistant Built-in Voice Remote, Works Alexa, Streaming UHD Television",$349.90,No Discount,4.2 out of 5 stars,,4 sizes4 sizes,https://www.amazon.com/TCL-50S450G-Assistant-Streaming-Television/dp/B0C1HYK1NG/ref=sr_1_189?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"FPD Smart TV 43 Inch, 1080p FHD Television Powered by Tizen OS Compatible with Samsung TV Plus, Dolby Audio, HDR 10, SmartThings, Miracast, Gaming Hub, Voice Control Flat Screen TV (AT43-P1)",$206.99,$228.99,4.0 out of 5 stars,50+ bought in past month,1 Option,https://www.amazon.com/FPD-Compatible-Bluetooth-Television-AT43-P1/dp/B0F32KWFQW/ref=sr_1_190?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"LG (Refurbished 83-Inch Class OLED evo AI 4K C5 Series Smart TV w/Dolby Atmos, Dolby Vision, HDR10, AI Super Upscaling 4K, Filmmaker Mode, Wow Orchestra, Alexa Built-in (OLED83C5PUA, 2025) (Renewed)","$2,349.80","$2,999.99",4.6 out of 5 stars,,5 sizes5 sizes,https://www.amazon.com/LG-Upscaling-Filmmaker-Orchestra-OLED83C5PUA/dp/B0F6TLBXW4/ref=sr_1_191?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
ATYME 32-inch Class 60Hz 720p HD LED TV Flat Screen 1*USB 3* HDMI 1*VGA ARC Dual Channel 8W Speakers Monitor Television Non-Smart Television 320GM5HD,$139.99,No Discount,4.2 out of 5 stars,,2 sizes2 sizes,https://www.amazon.com/Atyme-320GM5HD-ATYME-LED-HDTV/dp/B07FYYYHNP/ref=sr_1_192?dib=eyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE&dib_tag=se&qid=1780228912&s=tv
"Hisense 85"" E7 Cinema Series Hi-QLED Mini-LED 4K UHD Smart Fire TV (85E7SF, 2026 NEW) - Native 144Hz, AI Picture, Dolby Vision IQ · Atmos, FALD, HDR10+ Adaptive, MEMC, Alexa+","$1,098.99","$1,199.00",3.7 out of 5 stars,,6 sizes6 sizes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTU1OTIzOTM3NzY3MDUxOjE3ODAyMjg5MTI6c3BfYnRmX2Jyb3dzZTozMDEyODQ5MjQ0NDQ3MDI6OjA6Og&url=%2FHisense-Cinema-Hi-QLED-Mini-LED-85E7SF%2Fdp%2FB0GH7BH6NH%2Fref%3Dsr_1_193_sspa%3Fdib%3DeyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE%26dib_tag%3Dse%26qid%3D1780228912%26s%3Dtv%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
"Hisense 75"" U6 Pro Series Mini‑LED ULED 4K UHD HDR Gaming AI Smart Fire TV (75U6SF Pro, 2026 New) – Hi-QLED, Native 144Hz, Motion Rate 480, Dolby Vision IQ,· Atmos, HDR10+, Glare-Free, Alexa+",$848.99,"$1,399.99",4.6 out of 5 stars,,5 sizes5 sizes,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTU1OTIzOTM3NzY3MDUxOjE3ODAyMjg5MTI6c3BfYnRmX2Jyb3dzZTozMDEyNzAwMjQ0OTA1MDI6OjA6Og&url=%2FHisense-Pro-Mini%25E2%2580%2591LED-Gaming-75U6SF%2Fdp%2FB0GT4Q3LCV%2Fref%3Dsr_1_194_sspa%3Fdib%3DeyJ2IjoiMSJ9.wjmIRbFglCNtV9tzbKnTorDJQrscSVDrOw4UZCaxs0t2WH2-16KtC5ut4NAZhF_8pjG1-0pyiiuYsJ9c-0ipeqwhYF6DLTM9-lm7Z3Y4JNF0mFbzwWGWOtuFUPw2bSCu8TgxdWnwIT3o9sZQ3jq0_AmIlDKaCOlMKVxMxG-qLgN34wFfOMT0ZKsYvqSVAvOMkeXH67LRApCbtO3ozWRiBMX83W2STl5NQHQoJtSefn4Fxw2IJTPgXIAgHfpILtfsVjYy5l1WjNIQBb9AucNey3CebftkXP1hiX9JZ2YPsvQ.xSXmGnlQEWJTJY8b32i0JRJgBSrCvMIKgRufz1FtBfE%26dib_tag%3Dse%26qid%3D1780228912%26s%3Dtv%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
